Compound,Source,Unit,Turbidity (NTU),Source,doi
Bioretention,Influent,TSS Concentration (mg/L),228.75,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Bioretention,Influent,TSS Concentration (mg/L),1570,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Bioretention,Influent,TSS Concentration (mg/L),2410,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Bioretention,Influent,TSS Concentration (mg/L),574,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Bioretention,Influent,TSS Concentration (mg/L),2110,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Bioretention,Influent,TSS Concentration (mg/L),1110,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Bioretention,Influent,TSS Concentration (mg/L),418,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Bioretention,Influent,TSS Concentration (mg/L),604,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Bioretention,Influent,TSS Concentration (mg/L),882,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Bioretention,Influent,TSS Concentration (mg/L),2260,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Bioretention,Influent,TSS Concentration (mg/L),812,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Bioretention,Influent,TSS Concentration (mg/L),635,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Bioretention,Influent,TSS Concentration (mg/L),16,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Bioretention,Influent,TSS Concentration (mg/L),23,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Bioretention,Influent,TSS Concentration (mg/L),14,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Bioretention,Influent,TSS Concentration (mg/L),14,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Bioretention,Influent,TSS Concentration (mg/L),15,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Bioretention,Influent,TSS Concentration (mg/L),17,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Bioretention,Influent,TSS Concentration (mg/L),43,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Bioretention,Influent,TSS Concentration (mg/L),26,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Bioretention,Influent,TSS Concentration (mg/L),18,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Bioretention,Influent,TSS Concentration (mg/L),65,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Bioretention,Influent,TSS Concentration (mg/L),32,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Bioretention,Influent,TSS Concentration (mg/L),34,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Bioretention,Influent,TSS Concentration (mg/L),2,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Bioretention,Influent,TSS Concentration (mg/L),45,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Bioretention,Influent,TSS Concentration (mg/L),28,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Bioretention,Influent,TSS Concentration (mg/L),30,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Bioretention,Influent,TSS Concentration (mg/L),13,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Bioretention,Influent,TSS Concentration (mg/L),21,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Bioretention,Influent,TSS Concentration (mg/L),16,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Bioretention,Influent,TSS Concentration (mg/L),23,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Bioretention,Influent,TSS Concentration (mg/L),14,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Bioretention,Influent,TSS Concentration (mg/L),14,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Bioretention,Influent,TSS Concentration (mg/L),15,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
